BARRIO,CAPACIDAD,CLASE,COMUNA,CP,CPA,DIRECCION,DISPOSICION,ESTADO,ESTADO_OBESERVACIONES,FECHA_DE_ENTREGA_NUEVA_REVALIDA,FECHA_DE_NOTIFICACION,FECHA_DISPOSICION_DE_CAPACIDAD,FECHA_DISPOSICION_DE_RECHAZO,FECHA_DISP_INSCRIPCION,FECHA_DISP_RE_INSCRIPCION,FECHA_ENVIO,NOMBRE,NOTIFICADO,NUMERO_DIPS,NUMERO_DISPOSICION_DE_RECALCULO_CAPACIDAD,NUMERO_DISP_DE_RECHAZO,NUMERO_EXPEDIENTE,NUMERO_REGISTRO,PERIODO,PISO,VENCIMIENTO,X,Y
MONSERRAT,425,C,COMUNA 01,1064,C1064AAM,BALCARCE 605,1,RENOVADO 2017, ,27/10/2016, ,02/01/2013, ,02/01/2013,13/01/2017, ,FRODO´S, ,2,1, ,2296777/12,138,2017-SEM04, ,03/11/2016,-5.837.070.779.999.990,-3.461.490.580.000.000
RECOLETA,489,CC,COMUNA 02,1186,C1186AAF,"CABRERA, JOSE A. 3046",26,RENOVADO 2016, ,21/11/2016, ,10/05/2007, ,11/03/2005,15/06/2016, ,GLAM, ,69,60, ,10634/05,23,2017-SEM04, ,17/02/2017,-5.840.954.359.999.990,-3.459.700.610.000.000
RETIRO,408,CC,COMUNA 01,1007,C1007ABN,ESMERALDA 1040,3,SUSPENDIDO DISFC-2016-77-DGFYC,SUSPENDIDO,05/04/2016, ,08/08/2005, ,24/02/2005,23/03/2016, ,GOLDEN, ,45,98, ,10561/05,2,2017-SEM04, ,27/05/2016,-583.785.022,-3.459.600.389.999.990
PALERMO,950,C,COMUNA 14,1426,C1426CDA,"TORNQUIST, ERNESTO AV. 6385",147,RENOVADO 2016, ,08/09/2016, ,10/09/2013, ,10/09/2013,23/09/2016, ,GOLF DE PALERMO, ,93,147, ,3231626/13,141,2017-SEM04, ,03/12/2016,-584.351.293,-3.455.835.679.999.990
SAN NICOLAS,100,C,COMUNA 01,1054,C1054AAS,CORDOBA AV. 634,20,RENOVADO 2016, ,28/07/2016, ,23/03/2006, ,10/03/2005,31/03/2016, ,GONG, ,47,51, ,10577/05,17,2017-SEM04, ,27/10/2016,-5.837.604.329.999.990,-3.459.883.719.999.990
RETIRO,208,CC,COMUNA 01,1003,C1003ABR,RECONQUISTA 878,87,SUSPENDIDO,SUSPENDIDO,16/07/2015, ,10/01/2006, ,22/07/2005,14/08/2015, ,GREAT CITY, ,84,5, ,14498/05,64,2017-SEM04, ,13/10/2015,-583.729.449,-3.459.762.769.999.990
PALERMO,1685,C,COMUNA 14,1425,C1425BHF,SANTA FE AV. 4389,51,RENOVADO 2016, ,01/11/2016, ,31/03/2010, ,31/03/2010,01/04/2016, ,GROOVE, ,48,51, ,147846/10,117,2017-SEM04, ,07/02/2017,-5.842.323.869.999.990,-3.457.965.329.999.990
MONSERRAT,958,C,COMUNA 01,1086,C1086AAM,"YRIGOYEN, HIPOLITO 851",4,BAJA PROVISORIA, ,17/10/2016, ,15/01/2010, ,15/01/2010,28/11/2014, ,HIPOLITO CLUB, ,126,4, ,18225/10,115,2017-SEM04, ,07/11/2016,-5.837.852.149.999.990,-346.094.188
PALERMO,205,CC,COMUNA 14,1414,C1414BKD,GORRITI 5516,92,INSCRIPCION 2016, ,21/09/2016, ,23/10/2016, ,23/10/2016, , ,HOLLYGOOD, , ,92, ,18010169/16,149,2017-SEM04, ,04/11/2016,-5.843.643.122.999.990,-3.458.555.593.999.990
PALERMO,356,CC,COMUNA 14,1414,C1414BNC,HONDURAS 5535,83,BAJA DE INSC: DISP. NRO 70/14, , , ,14/08/2009, ,14/08/2009,15/11/2013, ,HONDURAS HOLLYWOOD, ,175,83, ,48909/09,108,2017-SEM04, , ,-5.843.573.789.999.990,-3.458.452.890.000.000
PALERMO,409,CC,COMUNA 14,1414,C1414BFE,"VEGA, NICETO, CNEL. AV. 5635",69,RENOVADO 2016, ,22/07/2016, ,09/06/2006, ,08/06/2005,12/08/2016, ,INK, ,84,79, ,20819/05,59,2017-SEM04, ,21/08/2016,-5.843.957.900.000.000,-3.458.645.500.000.000
PALERMO,742,C,COMUNA 14,1414,C1414CWS,"JUSTO, JUAN B. AV. 1658",53,RENOVADO 2016, ,28/12/2016, ,20/08/2010, ,24/04/2009,08/03/2016, ,INPUT, ,24,103, ,23794/09,105,2017-SEM04, ,28/03/2017,-5.843.615.069.999.990,-3.458.667.460.000.000
FLORES,323,CC,COMUNA 07,1406,C1406GMS,RIVADAVIA AV. 7518,10,RENOVADO 2016, ,19/10/2016, ,13/09/2005, ,03/03/2005,11/03/2016, ,IVANOFF, ,31,127, ,11153/05,9,2017-SEM04, ,15/12/2016,-5.847.143.549.999.990,-3.463.130.830.000.000
PALERMO,950,C,COMUNA 14,1414,C1414BFB,"VEGA, NICETO, CNEL. AV. 5422",107,RENOVADO 2016, ,03/10/2016, ,16/10/2014, ,16/10/2014,14/10/2016, ,JAGER, ,98,107, ,14551044/14,143,2017-SEM04, ,06/12/2016,-5.843.806.039.999.990,-3.458.770.169.999.990
BALVANERA,448,C,COMUNA 03,1187,C1187AAQ,CORDOBA AV. 2988,54,RENOVADO 2016, ,19/10/2016, ,30/04/2009, ,30/04/2009,29/04/2016, ,JANNOY, ,59,54, ,23791/09,106,2017-SEM04, ,17/11/2016,-5.840.942.179.999.990,-3.459.817.389.999.990
PALERMO,688,C,COMUNA 14,1428,,"OBLIGADO RAFAEL, AV.COSTANERA 4801",96,INSCRIPCION 2016, ,20/12/2016, ,07/10/2016, ,07/10/2016, , ,JET, , ,96, ,83133/05,150,2017-SEM04, ,22/03/2017,-5.841.794.819.999.990,-3.455.451.149.999.990
PALERMO,1100,C,COMUNA 14,1414,C1414BMW,HONDURAS 5339,35,RENOVADO 2016, ,27/12/2016, ,16/03/2007, ,16/03/2007,18/03/2016, ,KIKA, ,38,35, ,"44,991/06",88,2017-SEM04, ,30/03/2017,-5.843.332.600.000.000,-3.458.643.190.000.000
PALERMO,958,C,COMUNA 14,1425,C1425BHL,SANTA FE AV. 4999,3,INSCRIPCION VENCIDA, , , ,13/07/2007, ,14/02/2007,07/08/2009, ,KIMIA, ,79,77, ,81034/06,85,2017-SEM04, , ,-5.842.997.600.000.000,-3.457.695.009.999.990
RECOLETA,508,C,COMUNA 02,1114,C1114AAE,"URIBURU JOSE E., PRES. 1073",130,RENOVADO 2016, ,24/11/2016, ,05/12/2014, ,05/12/2014,07/12/2016, ,KUMA CLUB, ,115,130, ,7327422/13,144,2017-SEM04, ,17/02/2017,-5.839.857.090.000.000,-3.459.586.730.000.000
RETIRO,220,CC,COMUNA 01,1008,C1008AAR,SUIPACHA 842,113,BAJA PREVENTIVA POR DISFC NRO 107/16,SUSPENDIDO,27/10/2016, ,18/12/2009, ,18/12/2009,17/12/2015, ,LA CAPILLA, ,116,113, ,1445687/09,113,2017-SEM04, ,27/01/2017,-5.837.981.839.999.990,-3.459.845.150.000.000
VILLA ORTUZAR,940,C,COMUNA 15,1427,C1427CDA,ALVAREZ THOMAS AV. 1391,85,RENOVADO 2016, ,28/12/2016, ,23/06/2006, ,23/06/2006,21/10/2016, ,LA CITY, ,105,85, ,31391/06,78,2017-SEM04, ,28/03/2017,-58.461.551,-345.782.156
PALERMO,1558,C,COMUNA 14,1428,,"OBLIGADO RAFAEL, AV.COSTANERA 3731",48,BAJA INSCRIPCION DISFC-2013-127-DGFYC, , , ,29/09/2011, ,23/03/2005,17/09/2012, ,LA DIOSA-VIDU, ,123,107, ,10604/05,45,2017-SEM04, , ,-5.841.029.660.000.000,-3.455.837.100.000.000
SAN NICOLAS,1372,CC,COMUNA 01,1042,C1042ABF,SARMIENTO 1656,5,RENOVADO 2016, ,12/01/2017, ,29/09/2005, ,01/03/2005,29/02/2016, ,LA FRANCE, ,16,136, ,11117/05,4,2017-SEM04, ,13/04/2017,-5.839.015.030.000.000,-3.460.553.269.999.990
PUERTO MADERO,205,CC,COMUNA 01,1107,C1107AAD,"MOREAU DE JUSTO, ALICIA AV. 102",75,INSCRIPCION VENCIDA,INSCRIPCION VENCIDA,23/01/2013, ,01/06/2006, ,01/06/2006,12/06/2012, ,LA MADELEINE, ,82,75, ,80621/05,77,2017-SEM04, ,27/04/2013,-5.836.747.110.000.000,-34.600.006
MONSERRAT,449,CC,COMUNA 01,1064,C1064AAI,BALCARCE 431,59,BAJA INSC: DISP. NRO 113/12, , , ,10/05/2007, ,10/05/2007,28/05/2012, ,LA VENTANA, ,75,59, ,89485/06,89,2017-SEM04, , ,-5.837.061.940.000.000,-3.461.274.110.000.000
PALERMO,980,C,COMUNA 14,1414,C1414BFB,"VEGA, NICETO, CNEL. AV. 5452",144,RENOVADO 2016, ,19/10/2016, ,16/11/2012, ,16/11/2012,17/11/2016, ,LARC, ,109,144, ,2382483/12,137,2017-SEM04, ,06/12/2016,-5.843.846.839.999.990,-3.458.742.219.999.990
BALVANERA,1540,C,COMUNA 03,1214,C1214ABB,ECUADOR 60,37,RENOVADO 2016, ,20/12/2016, ,17/03/2006, ,18/03/2005,23/03/2016, ,LATINO 11, ,44,34, ,10594/05,34,2017-SEM04, ,22/03/2017,-5.840.896.390.000.000,-3.460.961.290.000.000
BALVANERA,990,CC,COMUNA 03,1033,C1033AAW,RIVADAVIA AV. 1910,159,RENOVADO 2016, ,17/10/2016, ,14/12/2005, ,14/12/2005,10/02/2016, ,LE CLICK, ,4,159, ,50478/05,68,2017-SEM04, ,13/01/2017,-5.839.371.750.000.000,-3.460.936.730.000.000
AGRONOMIA,68,C,COMUNA 15,1419,C1419IBE,SAN MARTIN AV. 6101,42,INSCRIPCION VENCIDA, , , ,23/03/2006, ,21/03/2005,23/03/2007, ,LE PRIVE, ,44,52, ,10583/05,39,2017-SEM04, , ,-5.850.174.009.999.990,-3.459.497.120.000.000
PALERMO,576,C,COMUNA 14,1425,C1425BGL,SANTA FE AV. 3651,3,RENOVADO 2017, ,07/12/2016, ,18/05/2012, ,11/02/2009,26/01/2017, ,LIQUID, ,5,71, ,72590/08,103,2017-SEM04, ,07/03/2017,-5.841.535.749.999.990,-345.854.383
CONSTITUCION,150,CC,COMUNA 01,1103,C1103ADI,HUMBERTO 1° 1783,123,RENOVADO 2016, ,27/12/2016, ,02/11/2006, ,02/11/2006,31/10/2016, ,LO DE CELIA, ,106,123, ,9853/06,83,2017-SEM04,1ER PISO,20/03/2017,-5.839.130.370.000.000,-3.462.150.609.999.990
RECOLETA,300,CC,COMUNA 02,1128,C1128ACF,"LOPEZ, VICENTE 2056",75,BAJA INSC: DISP. NRO 003/2010, , , ,02/07/2007, ,02/07/2007,18/07/2008, ,LOCOS X EL FUTBOL, ,72,75, ,11045/07,91,2017-SEM04, , ,-58.393.625,-3.458.892.159.999.990
VILLA DEL PARQUE,247,CC,COMUNA 11,1419,C1419HYS,"BEIRO, FRANCISCO AV. 3128",150,RENOVADO 2016, ,23/06/2016, ,28/12/2010, ,28/12/2010,24/05/2016, ,LOOP, ,66,150, ,1527712/10,119,2017-SEM04, ,10/08/2016,-5.849.734.519.999.990,-3.459.698.889.999.990
BELGRANO,479,C,COMUNA 13,1428,C1428DUB,"SUCRE, ANTONIO JOSE DE, MCAL. 646",99,INSCRIPCION 2016, ,02/12/2016, ,20/10/2016, ,20/10/2016, , ,LOW, , ,99, ,21227052/16,151,2017-SEM04, ,03/03/2017,-5.843.630.499.999.990,-3.455.309.599.999.990
MONSERRAT,200,C,COMUNA 01,1084,C1084AAR,DE MAYO AV. 948,145,RENOVADO 2016, ,07/12/2016, ,28/08/2013, ,28/08/2013,26/08/2016, ,LP, ,86,145, ,3142359/13,140,2017-SEM04, ,03/03/2017,-5.837.981.950.000.000,-3.460.902.399.999.990
RECOLETA,396,C,COMUNA 02,1128,C1128AAH,AZCUENAGA 1902,128,BAJA INSCRIPCION DISP. NRO 65/2013, , , ,15/09/2005, ,15/09/2005,28/09/2012, ,MADAHOS, ,125,128, ,14781/05,66,2017-SEM04, , ,-5.839.509.309.999.990,-3.458.753.300.000.000
LINIERS,1320,C,COMUNA 09,1408,C1408AAJ,RIVADAVIA AV. 10925,60,RENOVADO 2016, ,13/10/2016, ,23/04/2007, ,04/04/2006,06/04/2016, ,MAGICO, ,54,58, ,61559/05,74,2017-SEM04, ,11/01/2017,-5.851.800.130.000.000,-3.463.900.240.000.000
PUERTO MADERO,100,CC,COMUNA 01,1107,C1107AAU,"MOREAU DE JUSTO, ALICIA AV. 1007",95,SUSPENDIDO, ,23/04/2014, ,23/10/2009, ,23/10/2009,30/09/2011, ,MAGNOLIA, ,108,95, ,1082617/09,111,2017-SEM04, ,20/07/2014,-5.836.645.349.999.990,-3.460.961.439.999.990
FLORES,504,C,COMUNA 07,1406,C1406GSE,"ALBERDI, JUAN BAUTISTA AV. 2829",86,RENOVADO 2016, ,26/10/2016, ,04/09/2008, ,04/09/2008,12/04/2016, ,MAIS- UM, ,56,86, ,66474/07,98,2017-SEM04, ,27/01/2017,-5.846.759.910.000.000,-3.463.299.059.999.990
SAN NICOLAS,1076,C,COMUNA 01,1042,C1042ABH,SARMIENTO 1728,11,RENOVADO 2016, ,13/01/2017, ,11/07/2006, ,03/03/2005,04/03/2016, ,MALUCO BELEZA, ,23,92, ,11304/05,10,2017-SEM04, ,13/04/2017,-583.911.759,-3.460.560.300.000.000
PALERMO,1613,C,COMUNA 14,,,"OBLIGADO RAFAEL, AV.COSTANERA Y SARMIENTO AV.",47,RENOVADO 2016, ,23/11/2016, ,23/03/2009, ,23/03/2005,01/03/2016, ,MANDARINE, ,19,38, ,10611/05,44,2017-SEM04, ,24/02/2017,-5.840.193.680.000.000,-345.679.187
CONSTITUCION,1140,CLUB ART 1,COMUNA 01,1137,C1137ACL,SALTA 1748,7,RENOVADO 2016, ,20/09/2016, ,13/01/2006, ,13/01/2006,12/02/2016, ,MBURUKUJA, ,7,7, ,61556/05,69,2017-SEM04, ,20/12/2016,-5.838.273.579.999.990,-3.462.816.310.000.000
MONSERRAT,586,C,COMUNA 01,1064,C1064AAK,BALCARCE 563,123,RENOVADO 2016, ,02/11/2016, ,22/10/2010, ,22/10/2010,20/10/2016, ,MOD, ,101,123, ,1130684/10,118,2017-SEM04, ,03/02/2017,-5.837.073.310.000.000,-3.461.436.350.000.000
RECOLETA,581,C,COMUNA 02,1425,C1425CKO,"FIGUEROA ALCORTA, PRES. AV. 2270",116,INSCRIPCION VENCIDA,INSCRIPCION VENCIDA,13/06/2014, ,30/12/2009, ,30/12/2009,06/01/2014, ,MODENA DESIGN, ,1,116, , 48.226/09,114,2017-SEM04, ,20/07/2014,-5.839.383.970.000.000,-3.458.276.289.999.990
MONSERRAT,819,CC,COMUNA 01,1064,C1064AAN,BALCARCE 682,19,RENOVADO 2016, ,31/10/2016, ,10/03/2006, ,09/03/2005,23/03/2016, ,MOLIERE, ,42,25, ,10598/05,14,2017-SEM04, ,03/02/2017,-583.705.292,-346.155.689
BALVANERA,460,C,COMUNA 03,1222,C1222ABA,MEXICO 1863,66,RENOVADO 2016, ,22/12/2016, ,10/01/2006, ,08/06/2005,16/06/2016, ,MONTECARLO, ,70,6, ,10673/05,56,2017-SEM04, ,20/03/2017,-583.926.242,-3.461.571.529.999.990
FLORES,922,C,COMUNA 07,1406,C1406GMC,RIVADAVIA AV. 7217,95,BAJA DE INSCRIPCION, , , ,05/11/2008, ,05/11/2008,15/11/2013, ,MORENA, ,174,95, ,54743/08,100,2017-SEM04, , ,-5.846.728.110.000.000,-346.299.815
SAN NICOLAS,300,CC,COMUNA 01,1007,C1007ABC,ESMERALDA 565,62,RENOVADO 2016, ,20/10/2016, ,12/11/2009, ,12/04/2006,14/04/2016, ,MUNDO LATINO, ,57,102, ,10631/05,75,2017-SEM04,PLANTA BAJA,30/12/2016,-5.837.812.389.999.990,-3.460.152.860.000.000
MONSERRAT,1952,C,COMUNA 01,1068,C1068AAA,PERU 529,43,INSCRIPCION VENCIDA, , , ,13/07/2005, ,22/03/2005,27/03/2009, ,MUSEUM, ,36,80, ,10666/05,40,2017-SEM04, , ,-5.837.467.379.999.990,-3.461.419.250.000.000
CHACARITA,500,C,COMUNA 15,1427,C1427EIN,"DUMONT, SANTOS 4060",10,INSCRIPCION VENCIDA,INSCRIPCION VENCIDA,15/02/2013, ,29/01/2010, ,29/01/2010,24/02/2012, ,NEO CLUB, ,11,10, ,1544367/09,116,2017-SEM04, ,28/03/2013,-5.845.001.609.999.990,-3.458.874.790.000.000
PALERMO,1602,C,COMUNA 14,1425,C1425BHF,SANTA FE AV. 4389,27,BAJA INSC: DISP. 77/2008 CONJUNTA, , , ,17/10/2005,07/04/2006,11/03/2005, , ,NEW METROPOLIS, , ,145,61,10628/05,24,2017-SEM04, , ,-5.842.323.869.999.990,-3.457.965.329.999.990
RECOLETA,295,CC,COMUNA 02,1113,C1113AAS,JUNIN 1715,36,BAJA INSCRPICION: DISFC-2015-55-DGFYC, , , ,23/03/2006, ,17/03/2005,01/04/2015, ,NEW PORT, ,42,54, ,10566/05,33,2017-SEM04, , ,-5.839.277.570.000.000,-3.458.909.789.999.990
PALERMO,1118,C,COMUNA 14,1414,C1414BFD,"VEGA, NICETO, CNEL. AV. 5508",24,RENOVADO 2016, ,02/12/2016, ,06/05/2005, ,10/03/2005,11/03/2016, ,NICETO CLUB, ,30,58, ,10592/05,21,2017-SEM04, ,06/03/2017,-5.843.872.979.999.990,-3.458.724.099.999.990
MONSERRAT,342,C,COMUNA 01,1086,C1086AAM,"YRIGOYEN, HIPOLITO 847",113,INSCRIPCION 2016, ,07/12/2016, ,25/11/2016, ,25/11/2016, , ,NIX PREVIUS, , ,113, ,63116/12,152,2017-SEM04, ,03/03/2017,-5.837.836.066.999.990,-3.460.940.330.999.990
SAN NICOLAS,1100,C,COMUNA 01,1041,C1041AAM,SARMIENTO 667,104,INSCRIPCION VENCIDA, ,16/11/2011, ,12/11/2009, ,12/11/2009,11/11/2011, ,NON SERVIAM, ,129,104, ,1927/09,112,2017-SEM04, ,15/02/2012,-5.837.614.409.999.990,-3.460.460.009.999.990
VILLA DEL PARQUE,480,C,COMUNA 11,1419,C1419HYU,"BEIRO, FRANCISCO AV. 3334",12,RENOVADO 2016, ,11/08/2016, ,24/02/2012, ,24/02/2012,09/03/2016, ,ONE MORE CLUB, ,27,12, ,207312/12,132,2017-SEM04, ,10/11/2016,-5.849.994.980.000.000,-3.459.860.069.999.990
RETIRO,1239,CC,COMUNA 01,1107,C1107CPE,"GRIERSON, CECILIA 225",31,BAJA INSC: DISP. 44/2008 CONJUNTA, , , ,17/03/2006, ,15/03/2005,30/03/2007, ,OPERA BAY, ,48,32, ,10674/05,28,2017-SEM04, , ,-5.836.574.459.999.990,-3.459.827.700.000.000
PALERMO,626, ,COMUNA 14,1414,C1414CWF,"JUSTO, JUAN B. AV. 1675",111,BAJA DE INSCRIPCION, , , ,07/10/2011, ,07/10/2011,10/10/2013, ,OPIUM GARDEN, ,154,111, ,1653447/11,128,2017-SEM04, , ,-5.843.653.849.999.990,-3.458.639.649.999.990
SAN NICOLAS,200,CC,COMUNA 01,1019,C1019ABH,MONTEVIDEO 310,146,RENOVADO 2016, ,12/01/2017, ,22/12/2011, ,22/12/2011,21/12/2016, ,OYE CHICO, ,116,146, ,2204807/11,131,2017-SEM04, ,13/04/2017,-5.838.940.219.999.990,-3.460.490.930.000.000
BELGRANO,1942,C,COMUNA 13,,,COST Y PAMPA/AV.OBLIGADO 6151,91,BAJA INSCRPICION: DISFC-2015-80-DGFYC, , , ,20/08/2010, ,29/07/2005,20/08/2014, ,PACHA / PACHA BS AS, ,97,105, ,30712/05,65,2017-SEM04, , ,-5.842.894.960.000.000,-3.455.101.119.999.990
RECOLETA,364,CC,COMUNA 02,1128,C1128ACH,"LOPEZ, VICENTE 2134",53,INSCRIPCION VENCIDA,INSCRIPCION VENCIDA,15/05/2015, ,21/04/2006, ,21/04/2005,30/05/2014, ,PAGANA, ,76,66, ,13361/05,50,2017-SEM04, ,17/08/2015,-58.394.638,-3.458.837.499.999.990
PALERMO,650,C,COMUNA 14,1425,C1425FFJ,"BORGES, JORGE LUIS 2450",29,RENOVADO 2016, ,27/12/2016, ,18/08/2005, ,14/03/2005,18/03/2016, ,PALERMO CLUB, ,37,121, ,10619/05,26,2017-SEM04, ,07/02/2017,-5.842.146.309.999.990,-3.458.236.709.999.990
CABALLITO,1593,CC,COMUNA 06,1235,C1235ABE,LA PLATA AV. 735,67,RENOVADO 2016, ,18/01/2017, ,08/06/2005, ,08/06/2005,16/06/2016, ,PHUKET, ,71,67, ,20810/05,57,2017-SEM04, ,20/04/2017,-5.842.748.910.000.000,-3.462.415.279.999.990
RECOLETA,150,CC,COMUNA 02,1113,C1113AAS,JUNIN 1787,45,BAJA INSCRIPCION DISP. NRO 05/10, , , ,23/03/2006, ,23/03/2006, , ,PISO 1, , ,45, ,76735/05,71,2017-SEM04, , ,-5.839.238.660.000.000,-3.458.843.209.999.990
BELGRANO,1143,C,COMUNA 13,1428,,"OBLIGADO RAFAEL, AV.COSTANERA 6201",68,INSCRIPCION VENCIDA,INSCRIPCION VENCIDA,06/05/2015, ,20/05/2011, ,20/05/2011,29/05/2015, ,PIZZA BANANA, ,59,68, ,736109/11,125,2017-SEM04, ,22/06/2015,-5.842.970.590.000.000,-3.455.051.069.999.990
BALVANERA,200,C,COMUNA 03,1039,C1039AAS,"MITRE, BARTOLOME 2737",4,BAJA DE INSCRIPCION, , , ,05/05/2006, ,14/02/2007,05/05/2006, ,POPULARISIMO, ,71,71, ,10662/05,51,2017-SEM04, , ,-5.840.513.870.000.000,-3.460.875.260.000.000
MONSERRAT,586,C,COMUNA 01,1064,C1064AAK,BALCARCE 563,122,BAJA INSC: DISP. NRO 002/2010, , , ,29/08/2008, ,02/11/2006,12/11/2008, ,POR VOS BS AS, ,98,83, ,38142/06,82,2017-SEM04,PLANTA BAJA, ,-5.837.073.310.000.000,-3.461.436.350.000.000
PALERMO,604,C,COMUNA 14,1414,C1414DOB,"SCALABRINI ORTIZ, RAUL AV. 1425",96,RENOVADO 2016, ,05/01/2017, ,18/11/2011, ,16/11/2007,14/11/2016, ,PORTO SOHO, ,108,134, ,64702/07,94,2017-SEM04, ,30/03/2017,-584.264.741,-3.459.202.779.999.990
PALERMO,894,C,COMUNA 14,,,SARMIENTO AV. Y CASARES AV.,142,INSCRIPCION VENCIDA,INSCRIPCION VENCIDA,27/04/2015, ,07/11/2012, ,07/11/2012,05/12/2014, ,POUND, ,131,142, ,1670344/12,136,2017-SEM04, ,03/06/2015,-5.840.945.560.000.000,-3.456.900.879.999.990
PALERMO,2966,C,COMUNA 14,1425,,"OBLIGADO RAFAEL, AV.COSTANERA 1221",526,INSCRIPCION VENCIDA,INSCRIPCION VENCIDA,19/09/2014, ,20/02/2008, ,27/02/2008,05/12/2014, ,PRIVILEGE BA, ,129,526, ,47762/07,97,2017-SEM04, ,15/12/2014,-5.839.800.950.000.000,-3.457.053.630.000.000
CONSTITUCION,3050,C,COMUNA 01,1137,C1137ABD,O'BRIEN 1232,72,RENOVADO 2016, ,19/01/2017, ,27/11/2008, ,13/06/2005,14/10/2016, ,RADIO STUDIO, ,97,104, ,20814/05,60,2017-SEM04, ,20/02/2017,-5.838.309.019.999.990,-3.462.910.790.000.000
MONSERRAT,186,CC,COMUNA 01,1084,C1084AAR,DE MAYO AV. 948,85,INSCRIPCION VENCIDA, , , ,06/03/2006, ,19/07/2005,10/07/2006, ,REQUIEM GOTIC, ,90,19, ,24460/05,63,2017-SEM04, , ,-5.837.981.950.000.000,-3.460.902.399.999.990
FLORESTA,1872,C,COMUNA 10,1407,C1407DYN,RIVADAVIA AV. 7806,38,RENOVADO 2016, ,14/12/2016, ,05/10/2005, ,18/03/2005,18/03/2016, ,RETRO, ,40,144/150, ,10667/05,35,2017-SEM04, ,15/03/2017,-5.847.475.579.999.990,-3.463.223.099.999.990
MONSERRAT,901,C,COMUNA 01,1067,C1067AAH,PERU 342,4,RENOVADO 2016, ,01/12/2016, ,24/04/2006, ,01/03/2005,01/03/2016, ,REY CASTRO, ,17,67, ,11115/05,3,2017-SEM04, ,03/03/2017,-583.747.191,-3.461.200.259.999.990
VELEZ SARSFIELD,120,CC,COMUNA 10,1407,C1407DZA,RIVADAVIA AV. 9131,63,SUSPENDIDO, ,17/07/2012, ,13/05/2011, ,13/05/2011,18/05/2012, ,RIVADAVIA 9131, ,70,63, ,316734/11,124,2017-SEM04, ,11/10/2012,-584.927.341,-3.463.632.770.000.000
PALERMO,784,C,COMUNA 14,1414,C1414DOQ,"SCALABRINI ORTIZ, RAUL AV. 1648",96,RENOVADO 2016, ,04/07/2016, ,06/07/2012, ,06/07/2012,07/07/2016, ,ROOM, ,74,96, ,540934/12,134,2017-SEM04, ,30/09/2016,-5.842.452.474.000.000,-3.459.051.192.999.990
PALERMO,1370,C,COMUNA 14,1414,C1414BNA,HONDURAS 5445,139,RENOVADO 2016, ,28/12/2016, ,29/11/2011, ,29/11/2011,24/11/2016, ,ROSEBAR, ,112,139, ,2040335/11,130,2017-SEM04, ,30/03/2017,-5.843.450.760.000.000,-3.458.556.680.000.000
RECOLETA,254,CC,COMUNA 02,1128,C1128AAC,AZCUENAGA 1775,100,RENOVADO 2016, ,17/11/2016, ,11/08/2006, ,11/08/2006,07/10/2016, ,RUANO, ,95,100, ,31389/06,80,2017-SEM04,1ER PISO,17/02/2017,-5.839.609.543.000.000,-3.458.890.237
BELGRANO,765,CC,COMUNA 13,1428,C1428BCN,"FIGUEROA ALCORTA, PRES. AV. 6442",21,BAJA INSC: DISP. 40/13, , , ,02/11/2005, ,10/03/2005,09/03/2012, ,RUMI, ,31,149, ,10834/05,18,2017-SEM04, , ,-5.843.548.160.000.000,-3.455.310.049.999.990
RECOLETA,870,C,COMUNA 02,1113,C1113AAS,JUNIN 1735,35,BAJA INSC: DISP. CONJUNTA NRO 74/11, , , ,23/03/2006, ,17/03/2005,19/03/2010, ,SAHARA, ,43,46, ,10658/05,32,2017-SEM04, , ,-5.839.266.899.999.990,-3.458.891.539.999.990
SAN NICOLAS, ,ART 1,COMUNA 01,1041,C1041ABB,SARMIENTO 1374,50,BAJA INSC: DISP. NRO 30/DGHP/2008, , , , , ,23/03/2005, , ,SALON AGUSTEO, , , , ,10587/05,47,2017-SEM04, , ,-5.838.605.739.999.990,-3.460.527.950.000.000
NUEVA POMPEYA,2346,C,COMUNA 04,1437,C1437DNE,SAENZ AV. 459,5,RENOVADO 2016, ,20/01/2017, ,23/10/2008, ,23/02/2007,19/02/2016, ,SALON ROCK SUR, ,11,90, ,83809/06,86,2017-SEM04, ,20/04/2017,-584.162.599,-3.464.477.490.000.000
FLORES,186,CC,COMUNA 07,1406,C1406BGB,BOYACA AV. 28,34,RENOVADO 2016, ,26/01/2017, ,16/03/2007, ,16/03/2007,18/03/2016, ,SEU DISCO, ,39,34, ,"72,693/05",87,2017-SEM04, ,27/04/2017,-5.845.703.369.999.990,-346.263.559
PALERMO,203,CC,COMUNA 14,1188,C1188AAH,CORDOBA AV. 4119,33,INSCRIPCION 2016, ,20/10/2016, ,15/03/2016, ,15/03/2016, , ,SITGES, , ,33, ,361027/14,148,2017-SEM04, ,10/11/2016,-5.842.507.479.999.990,-3.459.687.869.999.990
RECOLETA,300,CC,COMUNA 02,1128,C1128ACI,"LOPEZ, VICENTE 2233",45,SUSPENDIDO DISP. NRO 26/DGHP/08, , , ,18/01/2007, ,22/03/2005,18/01/2007, ,SODOMA, ,1,1, ,10671/05,42,2017-SEM04, , ,-5.839.552.659.999.990,-3.458.741.650.000.000
